job_role,skills
Data Analyst,"python,sql,excel,powerbi,pandas"
Data Scientist,"python,machinelearning,statistics,pandas,numpy"
Machine Learning Engineer,"python,tensorflow,pytorch,deeplearning"
AI Engineer,"python,deeplearning,tensorflow,pytorch"
Business Analyst,"excel,sql,powerbi,communication"
Frontend Developer,"javascript,react,html,css"
Backend Developer,"nodejs,mongodb,sql,api"
Full Stack Developer,"react,nodejs,mongodb,javascript"
Web Developer,"html,css,javascript"
Software Developer,"java,python,c++,oop"
Software Engineer,"java,python,algorithms"
Mobile App Developer,"flutter,kotlin,android"
Android Developer,"kotlin,java,android"
iOS Developer,"swift,ios,xcode"
Game Developer,"unity,csharp,gamedesign"
UI UX Designer,"figma,adobexd,prototyping"
Graphic Designer,"photoshop,illustrator,creativity"
Product Designer,"figma,ux,research"
DevOps Engineer,"docker,kubernetes,aws,ci_cd"
Cloud Engineer,"aws,azure,docker"
Cloud Architect,"aws,architecture,cloudsecurity"
Cyber Security Analyst,"network,security,ethicalhacking"
Ethical Hacker,"penetrationtesting,cybersecurity"
Network Engineer,"networking,routers,switches"
System Administrator,"linux,servers,networking"
Database Administrator,"sql,oracle,database"
Data Engineer,"python,spark,hadoop"
Big Data Engineer,"spark,hadoop,scala"
BI Developer,"powerbi,tableau,sql"
AI Researcher,"machinelearning,deeplearning,research"
NLP Engineer,"python,nlp,spacy"
Computer Vision Engineer,"python,opencv,deeplearning"
Robotics Engineer,"robotics,python,automation"
Automation Engineer,"selenium,testing,automation"
QA Engineer,"testing,selenium,qa"
Test Engineer,"testing,automation,qa"
Embedded Systems Engineer,"c,microcontrollers,embedded"
Hardware Engineer,"electronics,circuits,hardware"
IoT Developer,"iot,sensors,raspberrypi"
Blockchain Developer,"solidity,blockchain,ethereum"
AR VR Developer,"unity,vr,ar"
Game Designer,"gamedesign,creativity,unity"
Technical Writer,"documentation,writing,tech"
Support Engineer,"troubleshooting,networking"
IT Consultant,"it,consulting,systems"
Product Manager,"productmanagement,leadership"
Project Manager,"projectmanagement,agile"
Scrum Master,"agile,scrum,leadership"
SEO Specialist,"seo,marketing,analytics"
Digital Marketing Specialist,"marketing,seo,socialmedia"
Content Strategist,"content,marketing,writing"
Social Media Manager,"socialmedia,marketing"
Video Editor,"videoediting,premierepro"
Animator,"animation,blender"
3D Artist,"3dmodeling,blender"
Data Visualization Specialist,"tableau,powerbi,dataviz"
Statistician,"statistics,r,analysis"
Research Scientist,"research,analysis,python"
AI Product Manager,"ai,productmanagement"
Technical Architect,"architecture,systemdesign"
Solutions Architect,"cloud,architecture"
Site Reliability Engineer,"devops,monitoring,kubernetes"
Security Engineer,"security,cloudsecurity"
Penetration Tester,"pentesting,cybersecurity"
Cloud DevOps Engineer,"aws,docker,kubernetes"
Machine Learning Ops Engineer,"mlops,kubernetes,docker"
AI Consultant,"aiconsulting,machinelearning"
Business Intelligence Analyst,"powerbi,sql,analytics"
Operations Analyst,"excel,analytics,operations"
Risk Analyst,"risk,analysis,statistics"
Quantitative Analyst,"math,statistics,finance"
Financial Analyst,"finance,excel,analysis"
Data Quality Analyst,"dataquality,sql"
Data Governance Specialist,"datagovernance,compliance"